AdmissionID,CourseAppliedDate,CourseEnrollmentDate,AdmissionFee,CourseId,StudentId,CreatedDate,UpdateDate
1427,2022-01-08 12:19:24,2022-04-02 09:20:32,88029,271,8144,2022-12-25 14:47:43.147304,2022-12-25 14:47:43.965704
1129,2022-02-18 04:05:07,2022-03-31 03:36:13,85170,271,8713,2022-12-25 14:47:43.142846,2022-12-25 14:47:43.532880
1931,2021-12-03 00:46:06,2022-03-19 00:22:28,94415,271,7111,2022-12-25 14:47:43.336000,2022-12-25 14:47:43.155118
1765,2021-12-23 09:21:54,2022-04-21 16:20:19,86086,342,6996,2022-12-25 14:47:43.413346,2022-12-25 14:47:43.222153
1829,2022-02-26 23:38:39,2022-03-21 02:14:27,97024,271,8840,2022-12-25 14:47:43.592265,2022-12-25 14:47:43.681830
1245,2022-02-01 05:34:12,2022-04-26 08:59:29,98204,342,7702,2022-12-25 14:47:43.875526,2022-12-25 14:47:43.865920
1287,2022-01-27 04:36:36,2022-04-23 02:17:19,93071,355,6571,2022-12-25 14:47:43.501586,2022-12-25 14:47:43.188891
1926,2022-01-14 07:57:30,2022-04-19 01:43:36,91181,271,6687,2022-12-25 14:47:43.199025,2022-12-25 14:47:43.679467
1766,2021-12-30 22:38:28,2022-04-25 19:26:19,93512,342,6436,2022-12-25 14:47:43.634084,2022-12-25 14:47:43.722667
1031,2022-01-23 15:06:10,2022-03-12 10:13:53,95429,254,6808,2022-12-25 14:47:43.382389,2022-12-25 14:47:43.339062
1571,2022-03-11 12:48:52,2022-03-12 23:14:51,94133,389,6963,2022-12-25 14:47:43.915725,2022-12-25 14:47:43.669958
1568,2022-03-11 11:12:51,2022-04-05 23:03:11,88874,254,7177,2022-12-25 14:47:43.705408,2022-12-25 14:47:43.905676
1420,2022-01-22 19:46:08,2022-04-26 12:30:54,97788,342,8294,2022-12-25 14:47:43.365934,2022-12-25 14:47:43.222321
1958,2022-02-08 12:53:50,2022-03-23 16:51:54,93832,355,7868,2022-12-25 14:47:43.705069,2022-12-25 14:47:43.091655
1323,2021-12-02 06:27:51,2022-04-01 20:51:30,99011,389,6821,2022-12-25 14:47:43.625232,2022-12-25 14:47:43.510274
1721,2022-01-04 23:42:36,2022-04-24 06:58:22,85205,355,8690,2022-12-25 14:47:43.818929,2022-12-25 14:47:43.570844
1270,2021-12-09 18:01:18,2022-03-16 13:19:05,93647,355,6478,2022-12-25 14:47:43.164989,2022-12-25 14:47:43.915588
1723,2021-12-20 09:33:29,2022-04-28 22:52:14,87427,254,6478,2022-12-25 14:47:43.431929,2022-12-25 14:47:43.219221
1993,2022-02-04 16:29:53,2022-04-02 13:04:53,87467,254,6476,2022-12-25 14:47:43.865688,2022-12-25 14:47:43.878747
1593,2022-01-06 19:26:57,2022-03-30 18:35:46,92216,254,7881,2022-12-25 14:47:43.320588,2022-12-25 14:47:43.824521
1086,2022-01-26 18:26:38,2022-04-12 16:14:44,98204,254,8778,2022-12-25 14:47:43.372280,2022-12-25 14:47:43.999512
1628,2022-01-27 05:29:25,2022-03-14 11:06:22,96188,342,6632,2022-12-25 14:47:43.476190,2022-12-25 14:47:43.175188
1639,2022-01-09 11:04:53,2022-03-26 10:06:15,98403,389,8348,2022-12-25 14:47:43.477225,2022-12-25 14:47:43.935876
1760,2021-12-29 03:06:22,2022-04-06 02:18:25,98411,254,8489,2022-12-25 14:47:43.844037,2022-12-25 14:47:43.024524
1087,2022-01-25 13:02:18,2022-04-03 17:00:57,99233,254,8955,2022-12-25 14:47:43.756946,2022-12-25 14:47:43.768513
1960,2022-01-17 23:00:37,2022-04-15 14:56:04,85748,389,8772,2022-12-25 14:47:43.440463,2022-12-25 14:47:43.212650
1703,2022-01-20 12:18:12,2022-04-20 22:34:25,92359,389,7495,2022-12-25 14:47:43.761992,2022-12-25 14:47:43.589432
1470,2021-12-11 00:30:51,2022-03-28 13:49:41,93872,254,8806,2022-12-25 14:47:43.587282,2022-12-25 14:47:43.553737
1422,2021-12-26 12:53:42,2022-04-23 00:27:05,94516,271,6991,2022-12-25 14:47:43.826729,2022-12-25 14:47:43.834468
1573,2022-01-30 08:41:23,2022-04-27 17:32:18,97879,342,8616,2022-12-25 14:47:43.952773,2022-12-25 14:47:43.791328
1792,2022-01-15 23:13:37,2022-03-12 16:54:57,98455,271,7508,2022-12-25 14:47:43.017193,2022-12-25 14:47:43.357966
1384,2022-02-08 02:08:20,2022-04-11 13:04:33,92705,389,7338,2022-12-25 14:47:43.837293,2022-12-25 14:47:43.503365
1032,2022-02-12 07:04:36,2022-04-21 23:26:46,87167,254,7716,2022-12-25 14:47:43.411520,2022-12-25 14:47:43.579017
1483,2022-01-03 07:30:12,2022-04-06 16:33:12,99523,271,6653,2022-12-25 14:47:43.484789,2022-12-25 14:47:43.336879
1163,2022-02-15 22:11:23,2022-03-25 11:29:01,94628,254,8705,2022-12-25 14:47:43.989888,2022-12-25 14:47:43.157012
1568,2022-03-05 08:21:55,2022-03-27 13:59:31,97303,342,7821,2022-12-25 14:47:43.250726,2022-12-25 14:47:43.061581
1316,2022-02-28 22:58:32,2022-03-20 16:45:02,94136,271,6868,2022-12-25 14:47:43.059396,2022-12-25 14:47:43.615900
1024,2021-12-30 04:22:00,2022-03-19 12:48:12,86854,389,8553,2022-12-25 14:47:43.733973,2022-12-25 14:47:43.188330
1980,2022-01-17 11:50:51,2022-03-12 13:57:40,91150,254,7000,2022-12-25 14:47:43.380030,2022-12-25 14:47:43.145953
1325,2022-01-29 00:52:20,2022-04-02 10:39:03,87645,271,8997,2022-12-25 14:47:43.743978,2022-12-25 14:47:43.035033
1120,2021-12-13 02:00:30,2022-04-06 20:40:07,99670,254,6634,2022-12-25 14:47:43.061272,2022-12-25 14:47:43.379194
1412,2022-01-19 15:12:45,2022-03-23 23:58:07,97003,389,8158,2022-12-25 14:47:43.626294,2022-12-25 14:47:43.295236
1328,2021-12-09 01:54:35,2022-04-17 05:42:09,86223,342,7455,2022-12-25 14:47:43.485153,2022-12-25 14:47:43.518728
1338,2021-12-05 00:40:06,2022-04-26 01:17:17,94518,355,6908,2022-12-25 14:47:43.625741,2022-12-25 14:47:43.001252
1092,2021-12-13 23:07:16,2022-04-06 13:36:33,99509,342,8675,2022-12-25 14:47:43.181029,2022-12-25 14:47:43.632750
1948,2021-12-13 10:38:08,2022-03-13 13:08:23,87333,389,7705,2022-12-25 14:47:43.374023,2022-12-25 14:47:43.954426
1683,2022-01-18 06:21:02,2022-03-23 10:44:21,89534,389,8109,2022-12-25 14:47:43.235733,2022-12-25 14:47:43.852305
1598,2022-01-01 00:35:17,2022-04-13 03:04:52,92065,355,8195,2022-12-25 14:47:43.948705,2022-12-25 14:47:43.619114
1506,2022-03-01 02:22:16,2022-04-29 08:04:54,90727,254,8228,2022-12-25 14:47:43.138492,2022-12-25 14:47:43.011006
1676,2021-12-01 20:17:05,2022-04-28 18:41:33,86770,387,7987,2022-12-25 14:47:43.681927,2022-12-25 14:47:43.538342
1431,2022-02-11 06:17:38,2022-04-19 05:30:26,93239,355,7999,2022-12-25 14:47:43.387431,2022-12-25 14:47:43.189354
1153,2021-12-05 01:23:15,2022-04-04 01:41:23,85351,254,6081,2022-12-25 14:47:43.650873,2022-12-25 14:47:43.037823
1692,2022-03-04 01:15:00,2022-04-29 00:59:12,88387,355,6981,2022-12-25 14:47:43.178934,2022-12-25 14:47:43.085923
1967,2021-12-05 19:04:05,2022-04-20 13:28:06,88315,254,7827,2022-12-25 14:47:43.314356,2022-12-25 14:47:43.012616
1810,2022-02-08 07:37:03,2022-04-07 12:09:11,97503,355,8503,2022-12-25 14:47:43.612241,2022-12-25 14:47:43.124328
1154,2022-01-09 09:31:07,2022-04-27 06:17:11,99240,389,6251,2022-12-25 14:47:43.329614,2022-12-25 14:47:43.271137
1922,2021-12-16 22:29:33,2022-04-22 12:23:25,87188,254,6478,2022-12-25 14:47:43.082937,2022-12-25 14:47:43.280168
1409,2022-02-07 04:12:48,2022-03-14 10:42:35,88653,254,6545,2022-12-25 14:47:43.902381,2022-12-25 14:47:43.856556
1238,2022-01-18 13:43:55,2022-04-08 16:43:25,89611,254,6908,2022-12-25 14:47:43.227715,2022-12-25 14:47:43.319741
1682,2022-02-28 04:51:48,2022-04-28 11:31:19,88005,389,8330,2022-12-25 14:47:43.799479,2022-12-25 14:47:43.676713
1040,2021-12-09 19:51:37,2022-04-28 18:39:24,88700,271,7494,2022-12-25 14:47:43.028315,2022-12-25 14:47:43.344349
1474,2022-01-03 00:07:00,2022-04-15 00:36:59,98514,387,6478,2022-12-25 14:47:43.265591,2022-12-25 14:47:43.828625
1263,2022-03-01 23:02:32,2022-03-13 12:55:32,86368,271,6282,2022-12-25 14:47:43.187085,2022-12-25 14:47:43.764129
1408,2022-01-07 09:24:34,2022-04-28 18:55:14,85532,355,6821,2022-12-25 14:47:43.563574,2022-12-25 14:47:43.217245
1984,2022-01-14 10:50:27,2022-04-13 12:51:58,91976,271,8358,2022-12-25 14:47:43.357994,2022-12-25 14:47:43.029633
1118,2022-02-17 18:01:50,2022-03-17 00:44:48,92858,387,7893,2022-12-25 14:47:43.783847,2022-12-25 14:47:43.531305
1777,2022-01-13 13:31:01,2022-03-19 21:30:06,91318,271,6671,2022-12-25 14:47:43.776644,2022-12-25 14:47:43.183264
1666,2022-03-10 19:46:30,2022-04-10 07:44:25,91560,254,7978,2022-12-25 14:47:43.436625,2022-12-25 14:47:43.645018
1465,2022-03-10 20:27:38,2022-03-25 13:24:40,93723,342,6963,2022-12-25 14:47:43.240230,2022-12-25 14:47:43.542956
1127,2022-01-12 16:08:58,2022-04-16 17:36:09,88858,271,6457,2022-12-25 14:47:43.828269,2022-12-25 14:47:43.840591
1190,2021-12-31 11:06:45,2022-04-10 08:36:09,87059,389,8144,2022-12-25 14:47:43.852899,2022-12-25 14:47:43.025586
1271,2022-02-25 04:23:45,2022-04-13 05:50:23,96885,271,8354,2022-12-25 14:47:43.831198,2022-12-25 14:47:43.339915
1563,2022-02-02 13:34:00,2022-04-14 21:20:01,88600,342,8109,2022-12-25 14:47:43.929527,2022-12-25 14:47:43.161393
1472,2021-12-21 13:53:48,2022-04-16 00:06:08,89598,342,8730,2022-12-25 14:47:43.877052,2022-12-25 14:47:43.363825
1808,2021-12-31 03:07:08,2022-03-30 17:23:38,88223,254,6488,2022-12-25 14:47:43.090956,2022-12-25 14:47:43.854222
1371,2022-01-17 01:29:26,2022-04-15 06:43:02,97975,355,8289,2022-12-25 14:47:43.377708,2022-12-25 14:47:43.221670
1076,2021-12-17 09:23:45,2022-03-31 07:25:04,95524,355,7768,2022-12-25 14:47:43.281168,2022-12-25 14:47:43.120522
1853,2021-12-06 13:20:16,2022-03-30 14:35:55,87501,254,8109,2022-12-25 14:47:43.073393,2022-12-25 14:47:43.636217
1871,2022-01-24 07:50:08,2022-04-29 14:44:18,95952,389,8587,2022-12-25 14:47:43.408455,2022-12-25 14:47:43.938897
1540,2021-12-22 12:47:12,2022-04-21 00:27:48,97149,355,6081,2022-12-25 14:47:43.932127,2022-12-25 14:47:43.173688
1997,2022-03-07 22:36:52,2022-03-12 01:11:22,91892,254,8587,2022-12-25 14:47:43.572108,2022-12-25 14:47:43.755019
1952,2021-12-18 21:00:43,2022-04-03 10:57:28,99183,254,7301,2022-12-25 14:47:43.876756,2022-12-25 14:47:43.229603
1886,2022-02-14 03:28:00,2022-03-27 20:35:57,98929,254,7702,2022-12-25 14:47:43.187556,2022-12-25 14:47:43.471554
1826,2022-01-21 00:22:37,2022-04-05 22:49:10,93777,387,8616,2022-12-25 14:47:43.650230,2022-12-25 14:47:43.279727
1246,2021-12-12 17:19:18,2022-03-26 07:05:11,85704,389,7508,2022-12-25 14:47:43.204226,2022-12-25 14:47:43.792516
1562,2022-02-17 04:51:57,2022-04-15 18:47:36,85384,389,7455,2022-12-25 14:47:43.040182,2022-12-25 14:47:43.768788
1763,2022-02-21 01:37:06,2022-03-13 05:33:36,88306,271,8778,2022-12-25 14:47:43.027485,2022-12-25 14:47:43.670585
1129,2021-12-20 08:05:54,2022-04-20 15:24:55,86344,389,6086,2022-12-25 14:47:43.241485,2022-12-25 14:47:43.443340
1202,2022-02-27 09:45:17,2022-04-30 05:26:59,92530,271,7348,2022-12-25 14:47:43.188421,2022-12-25 14:47:43.044857
1502,2021-12-14 21:05:42,2022-04-29 22:44:25,96184,254,7433,2022-12-25 14:47:43.069365,2022-12-25 14:47:43.386561
1288,2022-01-15 17:17:45,2022-04-04 00:10:04,98214,342,7881,2022-12-25 14:47:43.960687,2022-12-25 14:47:43.577507
1840,2022-03-06 23:03:57,2022-03-27 09:25:23,88389,389,7999,2022-12-25 14:47:43.078256,2022-12-25 14:47:43.242334
1695,2021-12-11 00:02:12,2022-03-21 14:35:03,92794,271,7508,2022-12-25 14:47:43.301598,2022-12-25 14:47:43.018867
1166,2022-02-07 14:42:12,2022-04-03 09:04:34,85099,254,6478,2022-12-25 14:47:43.973315,2022-12-25 14:47:43.958559
1815,2021-12-26 15:40:14,2022-03-31 22:03:52,91152,355,8395,2022-12-25 14:47:43.320436,2022-12-25 14:47:43.925400
1012,2022-01-22 12:09:52,2022-04-18 15:22:37,86035,389,7197,2022-12-25 14:47:43.313628,2022-12-25 14:47:43.100771
1724,2022-01-22 23:33:02,2022-03-11 17:53:20,92005,342,8840,2022-12-25 14:47:43.457429,2022-12-25 14:47:43.880156
1853,2021-12-14 01:28:54,2022-04-02 13:50:53,98704,355,6457,2022-12-25 14:47:43.560302,2022-12-25 14:47:43.631208
1260,2022-02-20 11:31:48,2022-03-23 14:25:15,97832,254,7999,2022-12-25 14:47:43.090194,2022-12-25 14:47:43.736506
1622,2022-01-16 04:30:41,2022-03-18 12:24:36,95254,271,6359,2022-12-25 14:47:43.271662,2022-12-25 14:47:43.137533
1432,2021-12-14 21:18:40,2022-03-27 19:41:39,99125,271,7978,2022-12-25 14:47:43.082883,2022-12-25 14:47:43.162211
1685,2022-01-03 10:04:02,2022-03-26 18:11:19,92380,254,6292,2022-12-25 14:47:43.750778,2022-12-25 14:47:43.575520
1051,2021-12-28 16:01:23,2022-04-16 09:26:30,86572,271,8675,2022-12-25 14:47:43.516738,2022-12-25 14:47:43.157709
1613,2022-01-05 01:41:14,2022-03-15 18:21:44,94547,342,7849,2022-12-25 14:47:43.333872,2022-12-25 14:47:43.640734
1774,2022-02-14 04:04:15,2022-04-18 00:10:53,94141,389,6262,2022-12-25 14:47:43.465450,2022-12-25 14:47:43.424075
1575,2021-12-30 04:53:59,2022-04-17 15:42:23,90450,254,7071,2022-12-25 14:47:43.540190,2022-12-25 14:47:43.571921
1799,2021-12-08 16:55:43,2022-04-13 23:31:18,99492,389,8354,2022-12-25 14:47:43.996314,2022-12-25 14:47:43.751373
1428,2022-01-07 05:52:50,2022-03-28 19:53:15,93438,271,7815,2022-12-25 14:47:43.136671,2022-12-25 14:47:43.943356
1752,2022-02-07 13:25:26,2022-04-24 06:50:19,89712,342,7301,2022-12-25 14:47:43.890032,2022-12-25 14:47:43.420448
1742,2021-12-03 13:54:19,2022-04-17 00:36:54,89263,342,8185,2022-12-25 14:47:43.343138,2022-12-25 14:47:43.749541
1595,2022-02-10 06:57:50,2022-04-03 18:38:05,98029,387,8057,2022-12-25 14:47:43.507688,2022-12-25 14:47:43.318338
1572,2021-12-29 03:48:37,2022-03-17 16:44:22,85412,389,7621,2022-12-25 14:47:43.731915,2022-12-25 14:47:43.947714
1637,2022-03-01 09:52:17,2022-04-27 13:19:57,87370,389,7084,2022-12-25 14:47:43.608670,2022-12-25 14:47:43.777222
1624,2022-02-20 21:55:30,2022-03-10 21:55:19,94756,355,6262,2022-12-25 14:47:43.376876,2022-12-25 14:47:43.771208
1796,2022-01-02 06:49:10,2022-03-19 04:29:29,95675,389,6571,2022-12-25 14:47:43.273062,2022-12-25 14:47:43.105184
1865,2021-12-27 09:09:42,2022-04-07 05:11:54,88886,389,7589,2022-12-25 14:47:43.931150,2022-12-25 14:47:43.412623
1187,2022-03-01 09:30:50,2022-04-17 03:40:47,87136,355,6964,2022-12-25 14:47:43.974584,2022-12-25 14:47:43.852761
1357,2021-12-12 06:11:22,2022-03-22 08:56:19,89232,387,6996,2022-12-25 14:47:43.412704,2022-12-25 14:47:43.012409
1708,2021-12-12 02:31:20,2022-04-21 02:33:41,89061,271,6359,2022-12-25 14:47:43.638752,2022-12-25 14:47:43.578728
1092,2022-03-08 16:32:39,2022-04-10 22:08:43,97601,355,7695,2022-12-25 14:47:43.552411,2022-12-25 14:47:43.040792
1301,2022-02-09 09:48:30,2022-03-15 18:57:04,92355,389,7731,2022-12-25 14:47:43.873189,2022-12-25 14:47:43.310221
1501,2021-12-09 08:48:55,2022-04-23 07:35:45,86255,342,6359,2022-12-25 14:47:43.624449,2022-12-25 14:47:43.333888
1181,2022-02-22 15:57:51,2022-04-18 23:07:59,96383,355,8616,2022-12-25 14:47:43.287773,2022-12-25 14:47:43.557938
1849,2022-01-12 13:29:31,2022-03-20 06:09:19,88438,342,6981,2022-12-25 14:47:43.856712,2022-12-25 14:47:43.792578
1132,2022-01-25 21:30:21,2022-04-20 07:12:45,94184,387,6923,2022-12-25 14:47:43.912729,2022-12-25 14:47:43.387176
1137,2022-03-10 21:59:37,2022-04-13 14:22:17,85060,254,6251,2022-12-25 14:47:43.104646,2022-12-25 14:47:43.518485
1485,2022-02-16 18:37:57,2022-04-02 16:26:30,94282,355,8705,2022-12-25 14:47:43.722441,2022-12-25 14:47:43.361876
1224,2022-01-20 02:09:13,2022-04-20 22:30:27,87688,271,8968,2022-12-25 14:47:43.094824,2022-12-25 14:47:43.929861
1373,2022-01-06 17:30:27,2022-04-26 18:47:35,85617,355,8957,2022-12-25 14:47:43.563647,2022-12-25 14:47:43.419325
1248,2022-02-04 14:52:13,2022-04-19 16:27:27,94631,389,6359,2022-12-25 14:47:43.896623,2022-12-25 14:47:43.175954
1011,2021-12-10 02:40:26,2022-04-10 21:08:25,93584,355,7096,2022-12-25 14:47:43.613078,2022-12-25 14:47:43.528113
1439,2021-12-14 04:16:41,2022-04-20 01:06:50,97448,254,7027,2022-12-25 14:47:43.735126,2022-12-25 14:47:43.303010
1366,2022-03-03 04:43:50,2022-03-22 05:29:25,92648,355,8997,2022-12-25 14:47:43.383209,2022-12-25 14:47:43.591850
1252,2022-01-05 10:13:58,2022-04-17 06:41:33,97815,389,7695,2022-12-25 14:47:43.209807,2022-12-25 14:47:43.373244
1034,2022-02-13 06:58:30,2022-03-31 01:06:49,96695,389,6653,2022-12-25 14:47:43.590930,2022-12-25 14:47:43.180290
1606,2022-01-16 16:42:35,2022-03-24 05:58:45,96947,271,7102,2022-12-25 14:47:43.773950,2022-12-25 14:47:43.428709
1595,2022-02-14 18:03:39,2022-03-31 20:29:48,95210,387,6580,2022-12-25 14:47:43.040420,2022-12-25 14:47:43.664158
1380,2022-02-07 13:24:02,2022-04-08 10:13:36,95073,254,7538,2022-12-25 14:47:43.548127,2022-12-25 14:47:43.099056
1402,2021-12-22 18:12:57,2022-04-27 08:12:34,93833,389,7768,2022-12-25 14:47:43.056499,2022-12-25 14:47:43.479212
1187,2021-12-09 03:33:44,2022-03-25 14:47:23,86040,254,6007,2022-12-25 14:47:43.831281,2022-12-25 14:47:43.504388
1842,2022-03-05 15:10:26,2022-03-28 08:41:29,87402,355,7495,2022-12-25 14:47:43.749039,2022-12-25 14:47:43.668166
1240,2022-01-27 17:27:19,2022-04-14 11:15:38,92546,389,6436,2022-12-25 14:47:43.394212,2022-12-25 14:47:43.549495
1583,2022-01-22 00:39:51,2022-04-25 18:07:18,99829,342,7880,2022-12-25 14:47:43.553260,2022-12-25 14:47:43.441585
1027,2022-03-01 19:01:05,2022-04-16 14:40:45,93870,271,6671,2022-12-25 14:47:43.688208,2022-12-25 14:47:43.602370
1842,2022-01-02 03:47:50,2022-04-17 02:17:55,89437,387,6632,2022-12-25 14:47:43.830143,2022-12-25 14:47:43.309677
1887,2022-03-02 15:04:22,2022-04-02 05:51:28,90532,387,8228,2022-12-25 14:47:43.269862,2022-12-25 14:47:43.111851
1604,2021-12-29 05:50:23,2022-03-10 22:48:34,91296,389,7869,2022-12-25 14:47:43.403679,2022-12-25 14:47:43.939125
1934,2022-02-03 01:21:45,2022-04-28 22:41:32,94016,389,6964,2022-12-25 14:47:43.190040,2022-12-25 14:47:43.455342
1733,2022-01-16 08:54:13,2022-04-19 13:58:38,99313,271,8507,2022-12-25 14:47:43.221160,2022-12-25 14:47:43.148437
1731,2022-02-16 05:24:21,2022-04-19 16:50:15,99521,355,8603,2022-12-25 14:47:43.181772,2022-12-25 14:47:43.697455
1181,2021-12-16 13:27:00,2022-04-23 05:09:23,96809,254,8690,2022-12-25 14:47:43.439626,2022-12-25 14:47:43.506047
1672,2022-01-09 09:44:45,2022-03-26 07:17:19,98839,271,6478,2022-12-25 14:47:43.497894,2022-12-25 14:47:43.162030
1674,2021-12-17 16:16:16,2022-04-05 01:51:59,85805,271,7659,2022-12-25 14:47:43.336713,2022-12-25 14:47:43.698555
1484,2022-02-09 19:59:40,2022-04-09 05:12:04,94780,254,6048,2022-12-25 14:47:43.454043,2022-12-25 14:47:43.723511
1309,2022-01-30 19:38:20,2022-03-27 02:00:20,86908,355,7593,2022-12-25 14:47:43.532068,2022-12-25 14:47:43.526333
1463,2022-01-23 05:26:13,2022-03-19 14:28:02,97639,387,8848,2022-12-25 14:47:43.577806,2022-12-25 14:47:43.734045
1067,2022-01-03 15:00:15,2022-03-29 08:16:35,99257,355,6264,2022-12-25 14:47:43.929725,2022-12-25 14:47:43.230394
1235,2022-02-17 02:38:14,2022-04-22 08:55:30,94507,342,8751,2022-12-25 14:47:43.402144,2022-12-25 14:47:43.200238
1078,2022-03-07 21:20:03,2022-04-08 06:53:29,87204,389,6155,2022-12-25 14:47:43.197331,2022-12-25 14:47:43.576924
1326,2022-02-03 09:58:39,2022-03-26 21:29:20,93603,387,6630,2022-12-25 14:47:43.143140,2022-12-25 14:47:43.622328
1020,2021-12-07 13:43:56,2022-03-12 21:19:30,90439,342,7768,2022-12-25 14:47:43.030134,2022-12-25 14:47:43.176795
1834,2022-02-07 09:33:44,2022-03-26 02:46:11,90204,254,6273,2022-12-25 14:47:43.154212,2022-12-25 14:47:43.965151
1683,2022-02-18 03:28:40,2022-04-29 00:48:40,88796,389,6183,2022-12-25 14:47:43.255220,2022-12-25 14:47:43.080256
1755,2022-01-17 08:39:52,2022-04-11 01:39:19,85401,355,6251,2022-12-25 14:47:43.059738,2022-12-25 14:47:43.296076
1521,2022-02-04 12:35:32,2022-03-30 23:11:36,90510,254,8692,2022-12-25 14:47:43.615435,2022-12-25 14:47:43.857868
1287,2022-01-21 18:02:57,2022-03-18 10:31:52,93300,254,7197,2022-12-25 14:47:43.806630,2022-12-25 14:47:43.939555
1213,2021-12-04 18:04:13,2022-04-08 16:16:48,92184,342,8325,2022-12-25 14:47:43.923326,2022-12-25 14:47:43.933405
1217,2022-01-09 22:49:24,2022-03-30 20:29:55,94951,389,7827,2022-12-25 14:47:43.974993,2022-12-25 14:47:43.238989
1056,2021-12-24 01:40:37,2022-04-17 17:11:23,95778,254,7659,2022-12-25 14:47:43.934008,2022-12-25 14:47:43.492304
1696,2022-01-17 03:13:12,2022-04-07 01:13:15,88529,342,8348,2022-12-25 14:47:43.378188,2022-12-25 14:47:43.744320
1651,2021-12-13 15:59:39,2022-04-11 09:16:33,98595,355,7312,2022-12-25 14:47:43.347505,2022-12-25 14:47:43.995472
1466,2021-12-01 18:38:36,2022-04-08 01:28:50,99527,355,6545,2022-12-25 14:47:43.614199,2022-12-25 14:47:43.581885
1831,2021-12-26 07:49:50,2022-03-17 03:31:52,91532,387,8503,2022-12-25 14:47:43.877454,2022-12-25 14:47:43.485574
1538,2022-02-11 13:19:33,2022-04-10 07:17:01,94597,342,7426,2022-12-25 14:47:43.399572,2022-12-25 14:47:43.476203
1607,2022-02-15 02:11:45,2022-04-25 02:32:16,98774,389,7850,2022-12-25 14:47:43.710434,2022-12-25 14:47:43.039663
1668,2021-12-02 23:05:44,2022-04-17 23:31:16,89141,389,7434,2022-12-25 14:47:43.140356,2022-12-25 14:47:43.347478
1739,2022-01-05 19:48:03,2022-04-09 16:03:22,97218,387,7572,2022-12-25 14:47:43.004652,2022-12-25 14:47:43.317705
1800,2022-02-07 01:56:45,2022-03-13 08:14:34,93776,342,8497,2022-12-25 14:47:43.185055,2022-12-25 14:47:43.434833
